Item;ACUSACION;ANIO_DENUNCIA;ANIO_HECHO;ATIPICIDAD_INEXISTENCIA;CAPTURA;CONDENA;CONEXO;DELITO;DEPARTAMENTO;ESTADO_NOTICIA;ETAPA;GRUPO_EDAD_VICTIMA;HECHO;HOMICIDIO_DOLOSO_CONSUMADO;IMPUTACION;LEY;MUNICIPIO;PAIS_NACIMIENTO;RUPTURA;SECCIONAL;SEXO_VICTIMA;TOTAL_VICTIMAS;Region;Nß_Habitantes
2925;SI;2019;2019;NO;SI;SI;NO;FEMINICIDIO ART. 104A C.P.;Choc¢;INACTIVO;EJECUCI‡N DE PENAS;ADULTEZ 29 - 59;SI;SI;SI;Ley 906;MEDIO SAN JUAN;Colombia;NO;DIRECCI‡N SECCIONAL DE CHOC‡;FEMENINO;1;Regi¢n Pac°fico;
3198;SI;2020;2020;NO;SI;NO;NO;FEMINICIDIO ART. 104A C.P. AGRAVADO POR CONCURSO DE PERSONAS. ART. 104B L.C;Choc¢;ACTIVO;INVESTIGACI‡N;ADULTEZ 29 - 59;SI;NO;SI;Ley 906;NUQU÷;Colombia;NO;DIRECCI‡N ESPECIALIZADA CONTRA LAS VIOLACIONES A LOS DERECHOS HUMANOS;FEMENINO;1;Regi¢n Pac°fico;
3312;SI;2020;2020;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P. AGRAVADO POR CONCURSO DE PERSONAS. ART. 104B L.C;Choc¢;ACTIVO;JUICIO;ADULTEZ 29 - 59;NO;NO;SI;Ley 906;NUQU÷;Colombia;SI;DIRECCI‡N ESPECIALIZADA CONTRA LAS VIOLACIONES A LOS DERECHOS HUMANOS;FEMENINO;1;Regi¢n Pac°fico;
3313;SI;2020;2020;NO;NO;SI;NO;FEMINICIDIO ART. 104A C.P. AGRAVADO POR CONCURSO DE PERSONAS. ART. 104B L.C;Choc¢;INACTIVO;EJECUCI‡N DE PENAS;ADULTEZ 29 - 59;NO;NO;SI;Ley 906;NUQU÷;Colombia;SI;DIRECCI‡N ESPECIALIZADA CONTRA LAS VIOLACIONES A LOS DERECHOS HUMANOS;FEMENINO;1;Regi¢n Pac°fico;
3322;SI;2020;2020;NO;SI;NO;NO;FEMINICIDIO ART. 104A C.P. AGRAVADO POR CONCURSO DE PERSONAS. ART. 104B L.C;Choc¢;ACTIVO;JUICIO;ADULTEZ 29 - 59;NO;NO;SI;Ley 906;NUQU÷;Colombia;SI;DIRECCI‡N ESPECIALIZADA CONTRA LAS VIOLACIONES A LOS DERECHOS HUMANOS;FEMENINO;1;Regi¢n Pac°fico;
96;NO;2016;2016;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Choc¢;ACTIVO;INDAGACI‡N;ADULTEZ 29 - 59;SI;SI;NO;Ley 906;QUIBDO;Colombia;NO;DIRECCI‡N SECCIONAL DE CHOC‡;FEMENINO;2;Regi¢n Pac°fico;
97;NO;2016;2016;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Choc¢;ACTIVO;INDAGACI‡N;SIN DATO;SI;SI;NO;Ley 906;QUIBDO;N/A;NO;DIRECCI‡N SECCIONAL DE CHOC‡;MASCULINO;1;Regi¢n Pac°fico;
159;NO;2016;2016;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Choc¢;INACTIVO;INDAGACI‡N;ADULTEZ 29 - 59;NO;NO;NO;Ley 906;QUIBDO;Colombia;SI;DIRECCI‡N SECCIONAL DE CHOC‡;FEMENINO;2;Regi¢n Pac°fico;
212;NO;2017;2017;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Choc¢;ACTIVO;INDAGACI‡N;SIN DATO;SI;NO;NO;Ley 906;QUIBDO;Colombia;NO;DIRECCI‡N SECCIONAL DE CHOC‡;FEMENINO;3;Regi¢n Pac°fico;
383;NO;2018;2018;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Choc¢;ACTIVO;INDAGACI‡N;JUVENTUD 18 - 28;SI;NO;NO;Ley 906;QUIBDO;Colombia;NO;DIRECCI‡N SECCIONAL DE CHOC‡;FEMENINO;1;Regi¢n Pac°fico;
384;NO;2018;2018;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Choc¢;INACTIVO;INDAGACI‡N;ADULTEZ 29 - 59;SI;NO;NO;Ley 906;QUIBDO;Colombia;NO;DIRECCI‡N SECCIONAL DE CHOC‡;FEMENINO;1;Regi¢n Pac°fico;
385;NO;2018;2018;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Choc¢;INACTIVO;INDAGACI‡N;ADULTEZ 29 - 59;SI;SI;NO;Ley 906;QUIBDO;Colombia;NO;DIRECCI‡N SECCIONAL DE CHOC‡;FEMENINO;1;Regi¢n Pac°fico;
460;NO;2018;2018;NO;NO;NO;SI;FEMINICIDIO ART. 104A C.P.;Choc¢;INACTIVO;INDAGACI‡N;SIN DATO;SI;NO;NO;Ley 906;QUIBDO;Colombia;NO;DIRECCI‡N SECCIONAL DE CHOC‡;FEMENINO;1;Regi¢n Pac°fico;
590;NO;2019;2019;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Choc¢;ACTIVO;INDAGACI‡N;ADULTEZ 29 - 59;SI;NO;NO;Ley 906;QUIBDO;Colombia;NO;DIRECCI‡N SECCIONAL DE CHOC‡;FEMENINO;1;Regi¢n Pac°fico;
591;NO;2019;2019;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Choc¢;INACTIVO;INDAGACI‡N;JUVENTUD 18 - 28;SI;SI;NO;Ley 906;QUIBDO;Colombia;NO;DIRECCI‡N SECCIONAL DE CHOC‡;FEMENINO;1;Regi¢n Pac°fico;
823;NO;2020;2020;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Choc¢;ACTIVO;INDAGACI‡N;ADOLESCENTE 14 - 17;SI;NO;NO;Ley 906;QUIBDO;Colombia;NO;DIRECCI‡N SECCIONAL DE CHOC‡;FEMENINO;1;Regi¢n Pac°fico;
824;NO;2020;2020;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Choc¢;ACTIVO;INDAGACI‡N;JUVENTUD 18 - 28;SI;NO;NO;Ley 906;QUIBDO;Colombia;NO;DIRECCI‡N SECCIONAL DE CHOC‡;FEMENINO;1;Regi¢n Pac°fico;
1154;NO;2021;2021;NO;NO;NO;SI;FEMINICIDIO ART. 104A C.P.;Choc¢;INACTIVO;INDAGACI‡N;SIN DATO;SI;NO;NO;Ley 906;QUIBDO;Colombia;NO;DIRECCI‡N SECCIONAL DE CHOC‡;FEMENINO;1;Regi¢n Pac°fico;
